epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9342.33,1.43453,0.87662,0.00741,0.71002,0.8374,0.78676,0.51624,1.32207,0.71018,0.00929,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9634.97,1.42765,0.8709,0.00741,0.70837,0.83932,0.78736,0.51693,1.32013,0.70914,0.00928,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9926.33,1.42803,0.87078,0.00729,0.70833,0.83952,0.78749,0.51743,1.31895,0.70936,0.00926,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10233,1.42812,0.85227,0.00728,0.71053,0.83814,0.78796,0.51796,1.3182,0.70829,0.00926,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10522.5,1.42175,0.85285,0.00729,0.70849,0.83774,0.78693,0.51749,1.31737,0.70739,0.00925,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10828.5,1.41524,0.84629,0.00728,0.70798,0.83763,0.78775,0.51802,1.31669,0.70604,0.00924,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11144,1.4077,0.83597,0.00718,0.70767,0.84241,0.78829,0.51841,1.31586,0.70517,0.00923,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,11436.2,1.40563,0.84264,0.00724,0.70966,0.83983,0.78955,0.51952,1.31565,0.70336,0.00923,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,11719.1,1.40797,0.83674,0.00715,0.70976,0.83717,0.78908,0.51934,1.31452,0.70406,0.00921,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,12019.7,1.40477,0.83141,0.0071,0.71,0.83842,0.78868,0.51912,1.31442,0.70304,0.00921,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,12310.2,1.39325,0.81765,0.00708,0.70766,0.84134,0.78907,0.51947,1.31326,0.70356,0.0092,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,12596.2,1.39244,0.82067,0.00712,0.7091,0.84232,0.78884,0.51988,1.31178,0.70384,0.00918,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,12885,1.38921,0.81652,0.00707,0.7101,0.83999,0.78889,0.52008,1.31124,0.7037,0.00917,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,13171.1,1.38696,0.80992,0.00705,0.7089,0.83968,0.78881,0.52021,1.31027,0.7043,0.00915,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,13451.4,1.37843,0.80397,0.00699,0.70863,0.84305,0.78897,0.52045,1.30946,0.70378,0.00914,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,13735.4,1.37736,0.80123,0.00699,0.70809,0.84052,0.78897,0.52112,1.30906,0.70317,0.00914,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,14018.5,1.3709,0.80041,0.0069,0.70811,0.84229,0.78872,0.52094,1.30786,0.70389,0.00913,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,14307,1.37026,0.78893,0.0069,0.71004,0.84219,0.7896,0.52138,1.30767,0.70296,0.00912,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,14595.7,1.37221,0.78681,0.00685,0.7088,0.84257,0.78894,0.52099,1.30726,0.7033,0.00912,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,14885.5,1.35928,0.78277,0.00684,0.71149,0.84172,0.78913,0.52111,1.30695,0.7024,0.00912,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,15171.2,1.35413,0.77083,0.00678,0.71135,0.8401,0.789,0.52128,1.30667,0.70165,0.00911,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,15471.6,1.35377,0.76865,0.00677,0.70787,0.84551,0.78888,0.52129,1.30605,0.70153,0.00911,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,15904.7,1.34872,0.76449,0.00674,0.71029,0.84473,0.78946,0.52196,1.30515,0.69989,0.0091,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,16395.6,1.34763,0.75884,0.00672,0.71096,0.84517,0.78888,0.52142,1.30441,0.69985,0.0091,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,16883.8,1.33976,0.75077,0.00669,0.71145,0.84338,0.78886,0.52145,1.30365,0.69882,0.00909,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,17376,1.33599,0.74862,0.00664,0.71273,0.84211,0.78921,0.52196,1.30312,0.69854,0.00908,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,17868.4,1.33079,0.74446,0.00662,0.71433,0.84241,0.78842,0.52147,1.30234,0.69834,0.00907,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,18354.8,1.32404,0.74132,0.00663,0.71555,0.83874,0.78812,0.5215,1.30172,0.69749,0.00906,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,18843,1.31519,0.7336,0.00653,0.71593,0.84088,0.78747,0.52123,1.30143,0.69715,0.00907,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,19338.6,1.31717,0.73385,0.00652,0.71574,0.83828,0.78775,0.52185,1.30101,0.6972,0.00906,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,19822.4,1.31607,0.72848,0.00643,0.71741,0.83742,0.78788,0.52239,1.30041,0.69676,0.00905,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,20317.7,1.30692,0.72668,0.00647,0.71813,0.83786,0.7876,0.52229,1.29993,0.69675,0.00904,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,20811,1.30586,0.72303,0.0064,0.71849,0.83782,0.78776,0.5227,1.29961,0.69712,0.00903,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,21301.7,1.29771,0.71193,0.00627,0.71723,0.83803,0.78769,0.52281,1.29926,0.69659,0.00902,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,21789.5,1.28888,0.71283,0.00627,0.71394,0.84213,0.78748,0.52277,1.29908,0.69632,0.00902,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,22282.1,1.27939,0.7007,0.00629,0.71319,0.84337,0.78739,0.52275,1.2981,0.69817,0.00901,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,22775.2,1.28198,0.70421,0.00626,0.7178,0.8414,0.78709,0.52263,1.29785,0.6978,0.009,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,23270,1.27042,0.69554,0.00614,0.7155,0.84,0.78616,0.52253,1.29777,0.69757,0.009,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,23766.3,1.26886,0.6944,0.00617,0.71369,0.84549,0.78654,0.52266,1.29691,0.69844,0.00899,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,24261.6,1.26009,0.6817,0.00607,0.71552,0.84299,0.78707,0.52302,1.2968,0.69679,0.009,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,24759.7,1.2519,0.67889,0.0061,0.71811,0.84112,0.78687,0.5235,1.29677,0.69674,0.00899,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,25249.8,1.25246,0.67934,0.00606,0.7175,0.84152,0.78644,0.52277,1.29625,0.69691,0.00899,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,25746.6,1.24124,0.66965,0.00595,0.71966,0.83712,0.7866,0.52338,1.29572,0.6974,0.00899,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,26245.5,1.2397,0.66548,0.00593,0.71925,0.83822,0.78615,0.52325,1.29498,0.69805,0.00898,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,26742.2,1.23202,0.66194,0.00589,0.71816,0.8397,0.78628,0.52359,1.29471,0.69809,0.00898,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,27234.1,1.23115,0.66124,0.00591,0.723,0.83558,0.78575,0.52314,1.29382,0.69929,0.00897,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,27725.8,1.22657,0.65343,0.00588,0.72575,0.83302,0.78523,0.52314,1.29314,0.70022,0.00896,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,28218.8,1.21617,0.64784,0.00572,0.72496,0.83545,0.78517,0.52314,1.2932,0.70022,0.00897,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,28707.3,1.20839,0.64113,0.00572,0.72519,0.83521,0.78483,0.52277,1.29299,0.70095,0.00897,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,29197.5,1.20128,0.63877,0.00565,0.7255,0.83452,0.78376,0.52253,1.29232,0.7017,0.00896,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,29692.4,1.19711,0.63013,0.00562,0.7248,0.83662,0.78347,0.52244,1.29187,0.70395,0.00896,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,30186.5,1.19018,0.63408,0.00566,0.72518,0.83577,0.78357,0.52284,1.2921,0.70376,0.00896,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,30676.5,1.19045,0.62789,0.00559,0.72295,0.83748,0.78357,0.52292,1.29177,0.70445,0.00896,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,31163.9,1.1817,0.62075,0.00552,0.72519,0.83631,0.7829,0.52251,1.29171,0.70521,0.00897,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,31650.4,1.17102,0.61862,0.00552,0.72574,0.83391,0.78259,0.52267,1.29236,0.70484,0.00897,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,32139.5,1.16495,0.6194,0.00543,0.72771,0.83346,0.78221,0.52249,1.29204,0.7059,0.00897,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,32628.4,1.16087,0.60517,0.00538,0.7265,0.83306,0.78224,0.52239,1.29183,0.7086,0.00897,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,33118.9,1.15088,0.60259,0.00532,0.72741,0.83215,0.7807,0.52158,1.29164,0.71005,0.00897,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,33604.1,1.14226,0.59913,0.00532,0.72612,0.83349,0.78006,0.52141,1.29129,0.71127,0.00896,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,34103.1,1.10063,0.50652,0.00569,0.72529,0.83455,0.77963,0.52084,1.29067,0.71331,0.00895,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,34582.1,1.08256,0.49567,0.00551,0.72484,0.83603,0.77872,0.5202,1.29113,0.7143,0.00895,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,35066.5,1.07178,0.4917,0.00544,0.72634,0.83328,0.7778,0.51942,1.29091,0.71648,0.00895,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,35542.1,1.06387,0.48434,0.00535,0.72425,0.83326,0.77748,0.51921,1.29061,0.71964,0.00895,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,36020.6,1.05171,0.4785,0.00528,0.72433,0.83358,0.77639,0.51858,1.29053,0.72107,0.00894,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,36502.1,1.04593,0.47955,0.0052,0.72577,0.82902,0.77533,0.51811,1.29077,0.72473,0.00895,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,36979,1.0364,0.47053,0.00513,0.72603,0.82743,0.77417,0.51721,1.29082,0.72853,0.00894,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,37457.9,1.0247,0.46326,0.00506,0.72689,0.82808,0.77342,0.51646,1.29067,0.73143,0.00894,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,37933.1,1.01976,0.46318,0.00502,0.72717,0.82611,0.77258,0.51605,1.2911,0.73393,0.00894,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,38410.3,1.01252,0.46017,0.00499,0.72774,0.82622,0.77107,0.51531,1.29109,0.73603,0.00895,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
